mannen,vrouwen,Datum
113,38,2026-04-15
112,38,2026-03-15
112,38,2026-02-15
111,35,2026-01-15
108,33,2025-12-15
108,33,2025-11-15
109,33,2025-10-15
106,32,2025-09-15
105,31,2025-08-15
104,29,2025-07-15
105,31,2025-06-15
105,31,2025-05-15
105,31,2025-04-15
106,31,2025-03-15
107,31,2025-02-15
106,31,2025-01-15
105,32,2024-12-15
106,32,2024-11-15
107,32,2024-10-15
113,38,2024-09-15
112,39,2024-08-15
110,37,2024-07-15
110,39,2024-06-15
109,39,2024-05-15
110,39,2024-04-15
110,39,2024-03-15
112,38,2024-02-15
108,39,2024-01-15
111,40,2023-12-15
114,40,2023-11-15
115,40,2023-10-15
113,40,2023-09-15
113,38,2023-08-15
112,37,2023-07-15
114,40,2023-06-15
113,40,2023-05-15
113,40,2023-04-15
114,39,2023-03-15
112,38,2023-02-15
111,37,2023-01-15
112,35,2022-12-15
112,35,2022-11-15
112,35,2022-10-15
111,36,2022-09-15
112,35,2022-08-15
109,33,2022-07-15
113,33,2022-06-15
112,33,2022-05-15
113,33,2022-04-15
115,32,2022-03-15
117,32,2022-02-15
118,32,2022-01-15
117,32,2021-12-15
117,32,2021-11-15
116,32,2021-10-15
116,31,2021-09-15
114,32,2021-08-15
112,30,2021-07-15
114,32,2021-06-15
113,32,2021-05-15
113,32,2021-04-15
111,32,2021-03-15
114,31,2021-02-15
114,30,2021-01-15
110,30,2020-12-15
110,30,2020-11-15
110,30,2020-10-15
109,28,2020-09-15
109,29,2020-08-15
106,28,2020-07-15
105,29,2020-06-15
114,31,2020-05-15
114,31,2020-04-15
114,31,2020-03-15
115,31,2020-02-15
116,30,2020-01-15
118,29,2019-12-15
118,29,2019-11-15
118,29,2019-10-15
118,29,2019-09-15
119,27,2019-08-15
116,25,2019-07-15
120,28,2019-06-15
119,28,2019-05-15
119,28,2019-04-15
119,28,2019-03-15
119,27,2019-02-15
120,28,2019-01-15
